いどうび,異動日,移動日
いな,否,維那,鯔
いない,以内,胃内
いなぎ,稲木,稲置
いにょう,囲繞,遺尿
いぬ,往ぬ,戌,犬
いぬい,乾,戌亥
いぬき,居抜き,鋳抜き
いね,亥子,稲
いねん,意念,易燃
いのこ,亥子,猪子
いのち,命,生命
いはい,位牌,移配,違背,遺灰,遺珮
いはく,医博,威迫
いはだ,斎肌,鋳肌
いはつ,衣鉢,遺髪
いはん,囲範,異版,違反,違犯
いばら,茨,荊棘
いばり,威張り,尿
いひつ,異筆,遺筆
いび,居飛,萎靡,異尾
いふ,夷俘,意符,畏怖,異父,移付,胃腑
いふう,威風,異風,遺風
いふうどうどう,威風堂々,威風堂堂
いふく,い吹く,倚伏,威服,威福,為福,畏伏,畏服,異服,異腹,衣服
いぶ,威武,慰撫
いぶき,伊吹,息吹き
いぶつ,異物,遺物
いぶん,異文,異聞,遺文
いへき,痿躄,胃壁
いへん,彙編,異変,韋編
いほう,医方,彙報,異方,異邦,移封,違法,遺宝
いほん,為本,異本
いぼ,異母,疣
いぼう,威望,異貌,遺忘
いぼく,移牧,遺墨
いま,今,居間
いましめ,戒め,縛め
いみ,忌み,意味
いみあけ,忌み明け,忌明け
いみん,移民,遺民
いむ,医務,忌む,異夢
いめい,依命,威名,異名,遺命
いも,妹,痘痕,芋,薯,藷
いもん,夷門,慰問
いやく,伊訳,医薬,意訳,違約
いやみ,嫌味,厭み
いゆ,出湯,慰諭
いよう,医用,威容,移用
いらい,以来,依頼
いらく,怡楽,慰楽,為楽
いらくさ,刺草,蕁麻
いらだち,苛立ち,イラ立ち
いらん,囲卵,違乱
いり,入り,煎り
いりあい,入会,入相
いりこ,海参,炒り子,炒り粉
いりしお,入り潮,煎り塩
いりゅう,慰留,移流,遺留
いりょう,医療,威稜,衣料,衣糧,遺領
いりょく,偉力,威力,意力
いる,入る,射る,居る,煎る,要る,鋳る
いるい,異類,衣類
いれい,威令,威霊,慰霊,異例,違令,違例,遺例
いれずみ,入れ墨,刺青,文身
いろ,倚廬,色
いろう,慰労,胃瘻,衣粮,遺漏
いろうつり,色写り,色移り
いろこ,色子,色粉
いろじ,色地,色字
いろどり,彩り,色取り
いろみ,色味,色見,色身
いわ,伊和,岩,巌,惟和,磐,違和
いわかわ,岩川,岩河
いわくら,岩座,磐座
いわたばこ,岩煙草,岩莨
いわや,岩屋,窟
いん,印,婬,尹,院,陰,隠,韻,飲
いんいつ,淫佚,隠逸
いんう,淫雨,陰雨
いんえい,印影,陰影
いんか,允可,印加,印可,印花,印顆,引火,陰火,隠花
いんかん,印環,印鑑,殷鑑,員環
いんが,印画,因果,淫雅,陰画
いんがい,員外,院外
いんき,淫気,隠起
いんきょ,允許,陰虚,隠居
いんきょう,印僑,引経,淫教,韻鏡
いんぎ,淫技,院議
いんぎょう,印形,因行,隠形
いんけい,陰経,陰茎
いんけつ,引決,音穴
いんけん,引見,隠顕
いんこ,陰壺,陰股,鸚哥
いんこう,印稿,印行,咽喉,引航,淫交,淫行,淫香,陰爻
いんこく,印刻,陰刻,陰谷
いんご,隠語,韻語
いんし,印紙,因子,淫祠,院司,院子,隠士,韻士
いんしゅ,引首,飲酒
いんしゅう,因習,淫醜,隠修
いんしょ,印書,韻書
いんしょう,印床,印章,印象,引照,引証,引證
いんしん,印信,殷賑,淫芯,陰唇,陰森,陰神,音信
いんじ,印字,印璽,印磁,淫事,隠侍,韻事,韻字
いんじき,印字器,印字機
いんじゅ,印綬,院主,陰樹
いんじゅう,淫汁,淫獣,陰獣
いんすい,引水,淫水
いんする,印する,淫する
いんせい,殷盛,院政,院生,陰性,陰晴,陰生,隕星,隠棲
いんせき,姻戚,引責,陰石,隕石
いんせつ,因説,引接
いんせん,印箋,院線,陰線,飲泉
いんぜん,院宣,飲膳
いんそつ,引率,院卒
いんたい,引退,院体,隠退
いんち,印池,引致,韻致
いんちょう,院庁,院長
いんてつ,印哲,隕鉄
いんてん,引転,院展,陰転
いんでん,印伝,院殿,隠殿
いんとう,允当,印刀,印塔,咽頭,引倒,引湯,引頭,淫蕩,淫豆
いんとく,婣徳,陰徳,隠匿
いんどう,印堂,引導
いんにく,印肉,淫肉
いんぱ,印パ,院派
いんび,因美,淫靡,隠微,韻尾
いんぴ,隠秘,隠避
いんぶ,殷武,陰部
いんぶん,陰文,韻文
いんぷ,印譜,淫婦,陰阜
いんぼう,印房,陰謀
いんぽん,印本,淫奔,院本
いんめん,印綿,印面
いんもん,印文,院門,陰門
いんやく,印鑰,淫薬,隠約
いんゆ,因由,引喩,隠喩
いんよう,引用,淫羊,陰葉,陰陽,飲用
いんりょう,隠寮,飲料
いんれい,引例,陰冷
う,兎,卯,塢,有,鵜
うい,憂い,有為
ういき,禹域,雨域
うえ,上,飢え
うえしろ,上白,植え代
うえじに,飢え死に,餓死
うえまつげ,上睫,植え睫
うえる,植える,飢える,餓える
うか,羽化,雨下,齲窩
うかい,迂回,鵜飼い
うかがう,伺う,窺う
うがい,嗽,雨害
うき,右記,泛子,浮き,烏鬼,雨期
うきぎ,浮き木,浮木
うきぐも,浮き雲,浮雲
うきこ,浮き子,浮き粉
うきみ,憂き身,浮き身
うきよ,憂世,浮き世
うけ,受け,有卦,筌,雨花
うけい,右傾,誓
うけしょ,請所,請書
うげん,右舷,迂言
うこう,宇高,烏口
うこん,右近,鬱金
うご,海髪,雨後
うし,丑,大人,牛,齲歯
うしつ,右室,烏漆
うしょう,右掌,鵜匠
うしろあし,後ろ足,後脚
うしろで,後ろ手,後手
うしろみ,後ろ見,後ろ身,後身
